first_name,last_name,birth_date
Georgi,Facello,1953-09-02
Chirstian,Koblick,1954-05-01
Sumant,Peac,1952-04-19
Kazuhide,Peha,1954-06-19
Alain,Chappelet,1953-02-08
Sanjiv,Zschoche,1954-09-13
Berhard,McFarlin,1954-10-01
Kwee,Schusler,1952-11-13
Claudi,Stavenow,1953-01-07
Reuven,Garigliano,1955-08-20
Hironoby,Sidou,1952-05-15
Erez,Ritzmann,1952-06-13
Jungsoon,Syrzycki,1954-02-25
Hironobu,Haraldson,1953-04-21
Akemi,Birch,1953-11-26
Lunjin,Giveon,1952-04-07
Dayanand,Czap,1955-08-26
Kayoko,Valtorta,1954-08-07
Armond,Peir,1955-12-02
Nishit,Casperson,1955-04-27
Diederik,Siprelle,1953-04-15
Perry,Shimshoni,1955-04-24
Xiadong,Perry,1953-05-20
Zhenbing,Perng,1955-01-29
Jaques,Munro,1954-12-01
Heekeun,Majewski,1955-12-15
Nigel,Aloisi,1954-04-23
Hairong,Mellouli,1953-04-06
Shigehito,Kropatsch,1953-07-16
Pranav,Furedi,1953-05-28
Xiaobin,Duclos,1954-04-02
Yongmin,Roison,1954-07-07
Leon,Trogemann,1954-05-17
Ulises,Takanami,1952-02-10
Lein,Vendrig,1954-04-01
Basil,Ishibashi,1955-12-12
Yishai,Cannane,1954-11-30
Hercules,Benzmuller,1953-11-27
Kauko,Birjandi,1953-07-08
Saddek,Gopalakrishnan,1952-05-14
Faiza,Baer,1954-10-11
Hirochika,Piancastelli,1952-06-30
Masali,Czap,1953-02-13
Roded,Facello,1954-04-01
Djelloul,Laventhal,1952-08-20
Pradeep,Kaminger,1953-10-03
Satyanarayana,Cochrane,1952-12-10
Vasilis,Standera,1952-08-12
Toshiki,Muniz,1953-11-28
Nakhoon,Dengi,1954-09-21
Anneli,Frijda,1952-04-08
Parto,Wrigley,1952-11-03
Takahiro,Deverell,1952-02-17
Sibyl,Rahier,1955-08-21
Volkmar,Ebeling,1953-07-23
Prodip,Rosti,1955-04-27
Arunas,Luce,1955-12-28
Martien,Improta,1952-02-13
Hisao,Tiemann,1953-11-06
Volkmar,Unno,1955-09-09
Bodh,Ranta,1952-10-06
Tsvetan,Matzel,1953-07-19
Ung,Zaiane,1954-05-20
Jiakeng,Himler,1954-12-25
Amstein,Kossowski,1952-08-24
Yakkov,Servieres,1953-12-21
Xiong,Varker,1953-04-07
Udi,Gihr,1955-11-16
Yonghoan,Alencar,1955-12-28
Marke,Cesareni,1955-07-24
Przemyslawa,Falby,1955-08-18
Godehard,Eiter,1955-11-05
Ramalingam,Gunderson,1952-06-12
Jianhao,Thisen,1955-04-14
Theirry,Yeung,1954-06-29
Hidde,Hettesheimer,1952-12-22
Adhemar,Talmor,1955-07-11
Hidekazu,Angel,1955-01-26
Aleksander,Danlos,1953-07-11
Krisda,Krogh,1954-04-18
Lalit,Francisci,1954-03-23
Inderjeet,Chaudhuri,1955-05-17
Hirochika,Narlikar,1955-12-19
Otmar,Feinberg,1953-06-16
Parviz,Rebaine,1953-06-12
Bluma,Zeilberger,1954-03-23
Valeri,Danley,1953-08-26
Berhard,Daescu,1953-12-14
Rildo,Straney,1955-12-16
Bader,Szemeredi,1952-11-25
Adib,Rullman,1955-12-19
Zita,Minakawa,1954-01-11
Fumitaka,Peak,1952-11-17
Sachar,Erdi,1954-07-06
Poorav,Ranze,1953-10-23
King,Brendel,1955-08-21
Jordanka,Ushiama,1952-12-02
Monique,Doering,1954-02-28
Ishfaq,Candan,1955-06-24
Mizuhito,Kemmerer,1955-08-11
Selwyn,Merey,1953-03-13
Tadahiko,Sgarro,1954-05-27
Supot,Naudin,1954-12-14
Katsuyuki,Velasco,1952-09-15
Chenxi,Leijenhorst,1955-09-11
Tomoyuki,Kermarrec,1952-11-23
Jianhua,Leivant,1953-07-15
Dipayan,Koprowski,1954-02-03
Theirry,Danley,1952-03-04
Fen,Bratsberg,1954-07-16
Billur,Gyorkos,1952-10-01
Lakshmi,Deville,1952-06-13
Muzhong,Chleq,1953-08-18
Shimshon,Champarnaud,1952-07-30
Vishwani,Petersohn,1952-03-21
Georgi,Atchley,1954-11-11
Oscal,Fasbender,1952-07-27
Susumu,Reghbati,1954-12-26
Mara,Bahi,1955-07-20
Hironoby,Atchley,1954-04-27
Gal,Scallan,1953-03-13
Mountaz,Schicker,1953-04-08
Berna,Skafidas,1955-11-19
Eckart,Braunschweig,1955-07-10
Premal,Noriega,1954-09-05
Muneo,Papsdorf,1952-03-07
Masako,Schiper,1954-08-11
Chinya,Deyuan,1955-06-24
Sumali,Candan,1954-09-08
Shin,Foote,1954-10-22
Alper,Axelband,1954-08-30
Taegyun,Speckmann,1953-09-12
Leon,Huttel,1954-09-06
Srinidhi,Henders,1954-07-13
Remzi,Cappello,1955-12-13
Miyeon,Krider,1952-02-23
Ottavia,Walstra,1954-12-20
Lansing,Maliniak,1952-05-22
Jinya,Beidas,1955-10-13
Gou,Breugel,1955-07-13
Jaques,Demke,1952-10-26
Elvis,Katiyar,1952-09-23
Przemyslawa,Erol,1952-10-06
Adib,Raney,1952-06-30
Barry,Boyle,1952-06-20
Hailing,Thummel,1953-09-08
Berna,Cochrane,1955-10-14
Aris,Iwayama,1955-02-23
Valeska,Birjandi,1955-12-11
Boaz,Mukaidono,1954-08-05
Shahab,Peng,1953-04-28
Vugranam,Kakkad,1953-02-13
Nalini,Azulay,1955-12-13
Sachar,Rajcani,1954-05-15
Hugh,Luca,1955-03-17
Bogdan,Homond,1955-10-13
Ishfaq,Masand,1954-06-25
Zhanqiu,Botman,1953-01-23
Kauko,Narlikar,1953-03-25
Mitsuyuki,Bojadziev,1952-11-07
Tadahiro,Fordan,1955-05-11
Sakthirel,Yetto,1952-06-24
Diederik,Covnot,1955-12-15
Saeed,Gips,1955-08-14
Saniya,Valtorta,1952-05-29
Yurij,Rissland,1952-12-11
Kellie,Mawatari,1954-07-01
Hidefumi,Crelier,1955-09-03
Kiam,Condotta,1955-08-12
Randi,Cyre,1954-10-01
Bezalel,Chinal,1955-10-16
Aimee,Petersohn,1954-05-14
Hitomi,Eppinger,1955-10-18
Visit,Dredge,1953-05-07
Gino,Glowinski,1953-11-01
Abdelkader,Lanzelotte,1953-02-03
Pranas,Marrakchi,1955-06-05
Atilio,McAlpine,1954-04-13
Nathalie,Pocchiola,1952-07-19
Kauko,Billingsley,1953-11-16
Kwangsub,Hanratty,1954-11-03
Flemming,Massonet,1954-06-05
Anneli,Jonsson,1954-12-27
Toshimi,Shinomoto,1953-11-17
Valery,Suomi,1952-03-10
Kenroku,Pelc,1952-04-23
Shiv,Ullian,1952-03-04
Alselm,Assaf,1954-09-27
Junsik,Junot,1954-05-17
Oscar,Peir,1953-05-30
Bedrich,Borovoy,1954-09-15
Sanjiv,Anido,1953-10-29
Josyula,Msuda,1953-11-07
Youngkon,Picht,1954-08-05
Marlo,Aingworth,1954-11-16
Kotesh,Asser,1955-03-30
Duke,Suomi,1953-10-14
Kish,Cronau,1955-04-18
Guttorm,Giaccio,1952-12-01
Fox,Narahari,1955-05-15
Karsten,Ranum,1952-03-26
Rance,Picel,1955-06-16
Aleksander,Feldhoffer,1954-06-18
Otmar,Mahnke,1954-07-16
Ulf,Basawa,1955-03-03
Jinxi,Oxman,1953-07-21
Xiadong,Standera,1955-10-26
Alagu,Boyle,1952-02-06
Zito,Dolinsky,1955-04-26
DAIDA,Pehl,1955-06-29
Subhash,Taubenfeld,1955-05-28
Kotesh,Perfilyeva,1955-08-05
Rimli,Alencar,1953-06-22
Teiji,Mitzlaff,1954-07-06
Martins,Fujisaki,1955-12-01
Edwin,Rosti,1953-12-22
Kaijung,Panangaden,1952-07-20
Herb,Swen,1954-12-07
Tomokazu,Foong,1953-12-03
Shem,Isaak,1955-03-05
Adil,Gammage,1955-05-16
Fan,Malinowski,1952-02-14
Valeri,Coorg,1953-10-06
Magy,Nitsche,1953-10-13
Gill,Stenning,1955-07-19
Henk,Felder,1954-12-20
Valeri,Ferriere,1952-04-12
Fumitake,Benzmuller,1952-05-15
